,Date,Volume,Open,High,Low,Close,pred
377,2020-02-26,810940000.0,2064.07,2089.64,2059.13,2076.77,2099.196734670719
378,2020-02-27,562770000.0,2073.87,2085.4,2049.15,2054.89,2083.147740997898
379,2020-02-28,671550000.0,2020.17,2031.01,1980.82,1987.01,2065.3136919124645
380,2020-03-02,528100000.0,1997.03,2017.07,1969.34,2002.51,1999.7353065158657
382,2020-03-04,606290000.0,2005.81,2063.59,2005.81,2059.33,2019.4556592647602
384,2020-03-06,865590000.0,2053.09,2062.57,2032.13,2040.22,2074.1490817781
385,2020-03-09,666870000.0,1981.02,1989.5,1946.9,1954.77,2045.6327633766623
386,2020-03-10,638560000.0,1942.85,1968.17,1934.72,1962.93,1962.531603987918
388,2020-03-12,850340000.0,1887.97,1897.23,1808.56,1834.33,1915.850456205871
389,2020-03-13,1040000000.0,1722.68,1809.31,1680.6,1771.44,1835.2787936681514
391,2020-03-17,649780000.0,1640.84,1722.97,1637.88,1672.44,1735.5930386471955
392,2020-03-18,728010000.0,1686.12,1693.95,1591.12,1591.2,1711.317906582516
395,2020-03-23,647530000.0,1474.45,1516.75,1458.41,1482.46,1534.4137597142199
400,2020-03-30,767780000.0,1670.34,1729.63,1659.95,1717.12,1691.3327162630299
402,2020-04-01,1240000000.0,1737.28,1762.44,1685.37,1685.46,1743.109121427443
403,2020-04-02,766310000.0,1693.53,1726.76,1664.13,1724.86,1719.8124107623607
412,2020-04-16,878340000.0,1839.51,1862.23,1828.13,1857.07,1855.5368807746468
414,2020-04-20,1090000000.0,1908.34,1925.25,1893.17,1898.36,1922.4261234043015
415,2020-04-21,1170000000.0,1886.78,1898.32,1841.66,1879.38,1911.9017857305269
416,2020-04-22,820360000.0,1855.51,1897.9,1844.85,1896.15,1862.5312994430888
418,2020-04-24,933920000.0,1906.07,1908.29,1880.71,1889.01,1913.1153684925534
422,2020-05-04,1150000000.0,1906.42,1918.66,1894.29,1895.37,1953.4584515310137
426,2020-05-11,591280000.0,1953.51,1960.46,1932.87,1935.4,1953.9552110869715
427,2020-05-12,799930000.0,1938.62,1938.62,1905.17,1922.17,1944.0542339407357
428,2020-05-13,618780000.0,1897.5,1940.42,1897.24,1940.42,1913.1708024594332
429,2020-05-14,760650000.0,1922.44,1931.43,1913.49,1924.96,1935.4763670295574
433,2020-05-20,699450000.0,1972.12,1992.2,1972.12,1989.64,1976.5090590784246
440,2020-05-29,1090000000.0,2018.37,2038.89,2006.62,2029.6,2020.5987466445138
445,2020-06-05,854590000.0,2151.17,2187.25,2138.18,2181.87,2157.920377618472
449,2020-06-11,827380000.0,2184.36,2200.72,2148.51,2176.78,2191.959601060343
450,2020-06-12,689900000.0,2088.24,2137.12,2084.63,2132.3,2171.502335116111
451,2020-06-15,1070000000.0,2114.41,2129.67,2030.82,2030.82,2128.9015283159183
459,2020-06-25,1020000000.0,2130.45,2143.33,2112.37,2112.37,2167.5814795872816
461,2020-06-29,643160000.0,2105.54,2120.5,2087.84,2093.48,2124.7094763396162
468,2020-07-08,677810000.0,2166.76,2173.83,2150.89,2158.88,2177.277736782962
470,2020-07-10,886990000.0,2171.44,2171.52,2140.29,2150.25,2177.1885808287943
472,2020-07-14,810950000.0,2176.43,2183.61,2165.6,2183.61,2181.237022673215
478,2020-07-22,856220000.0,2228.2,2238.86,2221.62,2228.66,2229.5665237933763
479,2020-07-23,934540000.0,2227.24,2227.24,2202.99,2216.19,2232.8682937746366
480,2020-07-24,1000000000.0,2196.73,2219.57,2195.49,2200.44,2208.8932619066613
481,2020-07-27,928620000.0,2203.48,2231.25,2203.48,2217.86,2216.261408707004
483,2020-07-29,899490000.0,2258.35,2276.79,2252.24,2263.16,2262.3023901983865
486,2020-08-03,648460000.0,2251.65,2254.38,2237.04,2251.04,2258.2572537949027
490,2020-08-07,812590000.0,2349.25,2362.24,2333.62,2351.67,2349.2983217322812
493,2020-08-12,763730000.0,2414.78,2432.35,2393.27,2432.35,2425.7804645828164
498,2020-08-20,903740000.0,2339.91,2357.08,2270.85,2274.22,2365.705672072359
506,2020-09-01,1090000000.0,2340.19,2355.9,2331.23,2349.55,2342.031363636447
509,2020-09-04,1350000000.0,2332.68,2371.02,2332.68,2368.25,2399.1475917477555
512,2020-09-09,946250000.0,2372.53,2388.85,2369.12,2375.81,2398.6745262441223
514,2020-09-11,882880000.0,2389.76,2397.56,2374.0,2396.69,2394.2738488368923
518,2020-09-17,853740000.0,2430.77,2437.02,2398.69,2406.17,2440.10100190781
521,2020-09-22,1050000000.0,2388.14,2388.49,2323.58,2332.59,2400.3091260098445
523,2020-09-24,714880000.0,2295.62,2309.74,2268.88,2272.7,2304.3967696498366
529,2020-10-07,737990000.0,2350.82,2387.45,2347.82,2386.94,2366.9282506879154
534,2020-10-15,1170000000.0,2375.91,2376.73,2348.74,2361.21,2383.9597703429195
537,2020-10-20,874290000.0,2333.56,2358.41,2322.06,2358.41,2356.976423106488
539,2020-10-22,815610000.0,2355.61,2360.22,2339.73,2355.05,2365.880636064526
542,2020-10-27,666940000.0,2328.66,2349.33,2321.23,2330.84,2355.4649465158795
543,2020-10-28,705770000.0,2324.18,2345.46,2316.47,2345.26,2341.4998616988078
544,2020-10-29,509770000.0,2312.34,2330.17,2299.91,2326.67,2337.343523962345
546,2020-11-02,678500000.0,2276.61,2302.64,2267.95,2300.16,2279.909648557494
554,2020-11-12,1280000000.0,2482.68,2488.79,2467.04,2475.62,2485.0332878796594
555,2020-11-13,1070000000.0,2470.12,2495.77,2460.96,2493.87,2476.377744726253
