iter	Logloss
0	0.6890155125
1	0.6847340347
2	0.680379568
3	0.6760400224
4	0.6720131889
5	0.6680949345
6	0.6642933831
7	0.6607775812
8	0.6571004103
9	0.6532393411
10	0.6496462214
11	0.6461870012
12	0.6428956695
13	0.6396881506
14	0.6366695647
15	0.6333192258
16	0.6298437172
17	0.6266071096
18	0.623630945
19	0.6208894385
20	0.6181642024
21	0.6153591122
22	0.6127973322
23	0.6104031795
24	0.6079190647
25	0.6051658001
26	0.6028272532
27	0.6002468545
28	0.5980201043
29	0.5959928435
30	0.593887972
31	0.5918334228
32	0.5897402532
33	0.5874638576
34	0.5856525358
35	0.5834253079
36	0.5812429871
37	0.5794030354
38	0.5776673273
39	0.575878627
40	0.5740471165
41	0.5722670566
42	0.5706977386
43	0.5689672843
44	0.5674116134
45	0.5657536773
46	0.563993618
47	0.5623493035
48	0.5607717496
49	0.5593460075
50	0.5581364085
51	0.5566872253
52	0.5553614548
53	0.5539368621
54	0.5526000184
55	0.5516595567
56	0.5502599485
57	0.5487404622
58	0.5475660043
59	0.5462705208
60	0.5451678161
61	0.5439111017
62	0.5430882029
63	0.5420138917
64	0.5409588212
65	0.5397408967
66	0.5386648013
67	0.5376396754
68	0.5362973432
69	0.5352844044
70	0.5343727276
71	0.5334641397
72	0.5325930331
73	0.5317087591
74	0.5308569698
75	0.5300129742
76	0.5291100105
77	0.5284372994
78	0.5276067102
79	0.5269573973
80	0.5262905657
81	0.5254970847
82	0.5247290266
83	0.5240829531
84	0.5234594948
85	0.5227691261
86	0.5218446984
87	0.5211205812
88	0.5202754614
89	0.5195782866
90	0.5190072843
91	0.5181629379
92	0.5170959784
93	0.5165686256
94	0.5159575807
95	0.5153181323
96	0.5147967194
97	0.5142658174
98	0.5134287999
99	0.5130082518
100	0.5124517897
101	0.5118635553
102	0.5112659013
103	0.510839465
104	0.5103418572
105	0.509748853
106	0.5092670803
107	0.5087316204
108	0.5083311702
109	0.5078180924
110	0.5074268002
111	0.5069018856
112	0.5063671011
113	0.5058472765
114	0.5053612622
115	0.5047876241
116	0.5043222656
117	0.5039073575
118	0.5035157585
119	0.5029864984
120	0.502569326
121	0.5020468297
122	0.5016400527
123	0.5013213097
124	0.5009220234
125	0.5003903022
126	0.4999853438
127	0.4994800598
128	0.499142328
129	0.4986954711
130	0.4981411756
131	0.4976534657
132	0.4973809025
133	0.4969711801
134	0.4966451576
135	0.4962640278
136	0.4958895602
