iter	RMSE
0	16.34911613
1	16.27874267
2	16.20877106
3	16.1393036
4	16.07425635
5	16.00895497
6	15.9437349
7	15.881585
8	15.82490782
9	15.75947403
10	15.69336453
11	15.63372064
12	15.57265679
13	15.51147052
14	15.45094666
15	15.39182365
16	15.33310193
17	15.27689803
18	15.2200244
19	15.16539508
20	15.10991925
21	15.05353414
22	15.0004674
23	14.94649174
24	14.89492759
25	14.84497196
26	14.79648535
27	14.74548437
28	14.69642401
29	14.64630786
30	14.59609572
31	14.55012711
32	14.50483314
33	14.45850779
34	14.41313816
35	14.37005643
36	14.32608653
37	14.28466804
38	14.24232087
39	14.20088915
40	14.15920089
41	14.11830417
42	14.08102144
43	14.04174731
44	14.00317776
45	13.96639037
46	13.92952392
47	13.89348755
48	13.85525381
49	13.81801507
50	13.78741063
51	13.75395935
52	13.7203671
53	13.6855395
54	13.65099399
55	13.62017386
56	13.59045638
57	13.55951059
58	13.52861874
59	13.49739674
60	13.46626439
61	13.43617069
62	13.40608054
63	13.37645304
64	13.34828005
65	13.31815862
66	13.28967736
67	13.2611066
68	13.23443742
69	13.20948673
70	13.18267045
71	13.1565705
72	13.13259498
73	13.11038923
74	13.08618703
75	13.06232973
76	13.04079772
77	13.01748938
78	12.99414338
79	12.97102953
80	12.94843548
81	12.92554097
82	12.90340593
83	12.88282194
84	12.8624643
85	12.84169105
86	12.82362488
87	12.80381977
88	12.78410513
89	12.76428179
90	12.74605915
91	12.72741459
92	12.70985582
93	12.69137179
94	12.67413243
95	12.65709309
96	12.63989933
97	12.62175544
98	12.60435031
99	12.5871708
100	12.57114225
101	12.55640161
102	12.54081525
103	12.52486347
104	12.50986324
105	12.49377702
106	12.47770735
107	12.46300752
108	12.44815008
109	12.4336743
110	12.42000558
111	12.40574298
112	12.39208182
113	12.37916228
114	12.36702646
115	12.35341259
116	12.34019645
117	12.32825037
118	12.31581456
119	12.30353431
120	12.29170856
121	12.28007839
122	12.26954647
123	12.25817436
124	12.24757448
125	12.23534429
126	12.22442589
127	12.21344646
128	12.20228553
129	12.19302252
130	12.1837952
131	12.1741758
132	12.16381704
133	12.15389699
134	12.14360292
135	12.13345901
136	12.12310631
137	12.11402878
138	12.10536624
139	12.09572355
140	12.08643048
141	12.07810623
142	12.06947614
143	12.0605863
144	12.05246175
145	12.04415092
146	12.03691025
147	12.02880041
148	12.020504
149	12.01344414
150	12.00555588
151	11.9984979
152	11.99008299
153	11.98236006
154	11.97555016
155	11.96893444
156	11.96126886
157	11.95433403
158	11.94706328
159	11.93966628
160	11.93342709
161	11.92709957
162	11.92124125
163	11.91528074
164	11.90830398
165	11.90147276
166	11.89505745
167	11.88881521
168	11.88194149
169	11.87535668
170	11.86988804
171	11.86456648
172	11.85899998
173	11.8527196
174	11.8463224
175	11.84079467
176	11.83577278
177	11.82965994
178	11.82418955
179	11.81869308
180	11.81384035
181	11.80909306
182	11.80390494
183	11.79944233
184	11.79488848
185	11.79058802
186	11.7854774
187	11.78002792
188	11.77533982
189	11.77080837
190	11.76588621
191	11.76186111
192	11.75741623
193	11.75335042
194	11.74911066
195	11.74453719
196	11.74042203
197	11.73652829
198	11.73238025
199	11.7279428
200	11.72398515
201	11.72031431
202	11.71644988
203	11.71219119
204	11.70841642
205	11.70437198
206	11.70058711
207	11.69765012
208	11.69413911
209	11.69028801
210	11.68635529
211	11.68262384
212	11.67867495
213	11.67478094
214	11.670896
215	11.66801862
216	11.66407071
217	11.66088925
218	11.65750736
219	11.65406207
220	11.65089005
221	11.64745915
222	11.644615
223	11.64178596
224	11.63843522
225	11.63618001
226	11.63306167
227	11.63014822
228	11.62705589
229	11.62401613
230	11.62183654
231	11.61932052
232	11.61704238
233	11.61449027
234	11.61194479
235	11.60987175
236	11.60704258
237	11.60423364
238	11.60142797
239	11.59900803
240	11.59664266
241	11.59405827
242	11.59108781
243	11.58812095
244	11.58580506
245	11.58333043
246	11.58070066
247	11.57851445
248	11.57637165
249	11.57371839
250	11.57146986
251	11.56940421
252	11.56756514
253	11.56535758
254	11.56372644
255	11.56169672
256	11.55950611
257	11.55714146
258	11.55532658
259	11.55344209
260	11.55169842
261	11.54978605
262	11.54733247
263	11.54499044
264	11.54252346
265	11.54046333
266	11.53867672
267	11.53619914
268	11.53406937
269	11.53215617
270	11.53067586
271	11.5288271
272	11.52713634
273	11.52488691
274	11.52294185
275	11.52118799
276	11.51922349
277	11.51687464
278	11.51552226
279	11.51390406
280	11.51174069
281	11.51031731
282	11.50854606
283	11.50667319
284	11.50516417
285	11.5032388
286	11.50116019
287	11.49861974
288	11.497117
289	11.49572885
290	11.49375778
291	11.49250314
292	11.49050494
293	11.48857959
294	11.48681652
295	11.48476345
296	11.48325714
297	11.48210607
298	11.48055774
299	11.47909065
300	11.47678745
301	11.47534659
302	11.47363921
303	11.47210836
304	11.47091254
305	11.46965208
306	11.46856462
307	11.46723299
308	11.46606973
309	11.46456801
310	11.46257839
311	11.46093661
312	11.45928232
313	11.45758684
314	11.45636473
315	11.45504976
316	11.45392687
317	11.452385
318	11.45141276
319	11.45013241
320	11.44877452
321	11.44773082
322	11.44639589
323	11.44511376
324	11.44421008
325	11.44266331
326	11.44147239
327	11.44014888
328	11.43890036
329	11.43728568
330	11.43631152
331	11.43495335
332	11.43357322
333	11.43239233
334	11.43095274
335	11.42968292
336	11.42851093
337	11.4269059
338	11.42556876
339	11.42436994
340	11.42313071
341	11.42182203
342	11.42063644
343	11.41945762
344	11.41770501
345	11.41566654
346	11.4140098
347	11.41288277
348	11.41185873
349	11.41084139
350	11.4094415
351	11.4081576
352	11.40665321
353	11.40514639
354	11.4045195
355	11.40353518
356	11.4025312
357	11.40137907
358	11.40045215
359	11.39929686
360	11.39856372
361	11.3976687
362	11.39625932
363	11.39435911
364	11.39337245
365	11.39209765
366	11.39083441
367	11.38965294
368	11.38873061
369	11.38781677
370	11.3865474
371	11.38488977
372	11.38395623
373	11.38277424
374	11.38156002
375	11.38025936
376	11.37950721
377	11.37858163
378	11.37758577
379	11.37667825
380	11.37563471
381	11.37473198
382	11.373546
383	11.37222707
384	11.37056098
385	11.3698002
386	11.36907183
387	11.36834625
388	11.3671128
389	11.36639602
390	11.36502777
391	11.36414377
392	11.36309769
393	11.3621665
394	11.3608266
395	11.3600789
396	11.35925167
397	11.3581637
398	11.35720474
399	11.35608387
400	11.35482318
401	11.35375489
402	11.35276804
403	11.35187614
404	11.35053207
405	11.34932856
406	11.34856503
407	11.34754732
408	11.34640754
409	11.34584765
410	11.34475337
411	11.34397715
412	11.34296907
413	11.34178531
414	11.34062371
415	11.33955335
416	11.3388865
417	11.33812444
418	11.33669285
419	11.33598782
420	11.33438495
421	11.33335646
422	11.33252767
423	11.33154468
424	11.33063552
425	11.32982418
426	11.32889649
427	11.32837198
428	11.3272991
429	11.32669794
430	11.3250741
431	11.323916
432	11.3228924
433	11.32180096
434	11.32071329
435	11.31963404
436	11.31860218
437	11.31753748
438	11.31696405
439	11.31622635
440	11.31567677
441	11.31501571
442	11.31429576
443	11.31359872
444	11.31272409
445	11.31216756
446	11.31133747
447	11.31035716
448	11.30963121
449	11.30886912
450	11.30826873
451	11.30726242
452	11.30667107
453	11.3060082
454	11.30512144
455	11.30423701
456	11.303091
457	11.30179438
458	11.30096711
459	11.30018142
