iter	RMSE
0	305.4314856
1	298.8446108
2	292.2129208
3	286.0662687
4	279.7834816
5	273.6071229
6	267.8810845
7	262.4463444
8	257.010369
9	251.3675149
10	246.0370356
11	240.8343835
12	235.5896913
13	230.5625297
14	225.6418069
15	221.2515654
16	216.7544206
17	212.1523903
18	208.2341837
19	204.16718
20	200.1867271
21	196.1956991
22	192.3294879
23	188.4744483
24	184.7140305
25	180.8746655
26	177.5500757
27	174.1598625
28	170.963133
29	167.6540832
30	164.5500528
31	161.5358356
32	158.7905488
33	155.9385763
34	153.2899881
35	150.5792109
36	147.9774892
37	145.4916508
38	142.9898425
39	140.5727597
40	138.2550029
41	136.0967074
42	133.7848963
43	131.7498546
44	129.5814351
45	127.5562573
46	125.4363383
47	123.3464602
48	121.3468394
49	119.6019157
50	117.8643892
51	116.0013977
52	114.2198625
53	112.4984957
54	110.8718168
55	109.3574912
56	107.8436651
57	106.4235049
58	105.0532131
59	103.6419929
60	102.302085
61	100.945065
62	99.71027465
63	98.62474985
64	97.46368106
65	96.31426669
66	95.2209608
67	94.14854619
68	93.18991341
69	92.17416856
70	91.22767021
71	90.27564486
72	89.21051916
73	88.27697389
74	87.41105305
75	86.60589726
76	85.85355391
77	85.07375961
78	84.28645315
79	83.61058364
80	82.88222038
81	82.22336137
82	81.5108475
83	80.79497586
84	80.1328578
85	79.59957527
86	79.03655883
87	78.4320583
88	77.83918421
89	77.32496054
90	76.76081873
91	76.26628302
92	75.85268198
93	75.33160399
94	74.87206135
95	74.37999464
96	73.95293133
97	73.44267022
98	73.0646368
99	72.61493558
100	72.21819544
101	71.76162662
102	71.43991221
103	71.10949569
104	70.73311897
105	70.40342073
106	70.02483721
107	69.70104393
108	69.45678764
109	69.15905045
110	68.8533861
111	68.54941089
112	68.21202015
113	67.88499904
114	67.63141634
115	67.38947105
116	67.1633367
117	66.91736295
118	66.72746172
119	66.47496953
120	66.32152142
121	66.14878089
122	65.96502127
123	65.71695214
124	65.54465442
125	65.35203289
126	65.10530972
127	64.95848223
128	64.81303169
129	64.65309995
130	64.47811978
131	64.29547373
132	64.15845763
133	63.99974406
134	63.80625533
135	63.61673905
136	63.49058513
137	63.36000843
138	63.2197638
139	63.04726635
140	62.89765305
141	62.76712034
142	62.57214827
143	62.37474782
144	62.22412606
145	62.04930362
146	61.94845937
147	61.82824073
148	61.70590379
149	61.61024784
150	61.49088455
151	61.40574593
152	61.26647361
153	61.16204002
154	61.06774408
155	60.98105495
156	60.89459978
157	60.74750009
158	60.68066725
159	60.56212919
160	60.45920371
161	60.35273945
162	60.2824711
163	60.18689784
164	60.10804032
165	59.97904321
166	59.89674693
167	59.80696218
168	59.71882966
169	59.64947234
170	59.5711762
171	59.48464158
172	59.40784652
173	59.3496749
174	59.26877124
175	59.16096228
176	59.10131557
177	59.02800069
178	58.96685575
179	58.90887646
180	58.84839549
181	58.74283023
182	58.63778656
183	58.6052459
184	58.51687691
185	58.4735492
186	58.43014349
187	58.36259165
188	58.27122755
189	58.17425663
190	58.07860685
191	58.02904285
192	57.94624025
193	57.87740771
194	57.7919269
195	57.69428088
196	57.60913357
197	57.52125618
198	57.43717956
199	57.38410624
200	57.32352367
201	57.26470776
202	57.22037182
203	57.13705091
204	57.11212545
205	57.05801419
206	56.98996282
207	56.93413291
208	56.88935619
209	56.78425164
210	56.70927374
211	56.64874699
212	56.58481166
213	56.54176082
214	56.45970126
215	56.39287977
216	56.33233308
217	56.24498105
218	56.11666821
219	56.08924005
220	56.0287916
221	55.94464907
222	55.89416463
223	55.79034888
224	55.75555658
225	55.72101316
226	55.6951148
227	55.61411704
228	55.59061308
229	55.55882619
230	55.48848483
231	55.46950914
232	55.44980911
233	55.37527331
234	55.2976165
235	55.25642123
236	55.14834408
237	55.08794316
238	55.0278798
239	54.96881304
240	54.90695466
241	54.844888
242	54.81489403
243	54.71113245
244	54.66008032
245	54.58407686
246	54.52589259
247	54.46261078
248	54.40536464
249	54.29017543
250	54.2537945
251	54.22847433
252	54.18412824
253	54.15475061
254	54.09651894
255	54.04482837
256	53.9959261
257	53.93176933
258	53.87496275
259	53.83538312
260	53.77836063
261	53.72851663
262	53.69424069
263	53.6430574
264	53.59772401
265	53.54677706
266	53.5087872
267	53.45238098
268	53.38198514
269	53.33690712
270	53.25138508
271	53.2015488
272	53.17015484
273	53.12479294
274	53.0468347
275	52.96119544
276	52.92252871
277	52.87627771
278	52.79938432
279	52.74656583
280	52.68974104
281	52.63436966
282	52.5781224
283	52.53636413
284	52.48634666
285	52.44787391
286	52.43691571
287	52.36988472
288	52.31440566
289	52.28592828
290	52.22770803
291	52.18350355
292	52.15434655
293	52.09144171
294	52.02657703
295	51.96246529
296	51.9023147
297	51.86464621
298	51.8268656
299	51.76753506
300	51.72243579
301	51.68662505
302	51.60869338
303	51.56080737
304	51.50012493
305	51.47158606
306	51.40862517
307	51.3554916
308	51.28806236
309	51.23436857
310	51.22127725
311	51.17895043
312	51.13263945
313	51.10024558
314	51.06957522
315	51.00295242
316	50.9681936
317	50.94030271
318	50.91472157
319	50.88535308
320	50.84465403
321	50.79388114
322	50.72432692
323	50.69555223
324	50.63367721
325	50.57690941
326	50.5272476
327	50.47367837
328	50.42794576
329	50.39232143
330	50.33156864
331	50.2858947
332	50.23315513
333	50.20491028
334	50.17012325
335	50.12605158
336	50.06506289
337	50.00739975
338	49.97259268
339	49.93039062
340	49.89681837
341	49.84930567
342	49.83005704
343	49.77514361
344	49.7218716
345	49.67544974
346	49.61667411
347	49.55801869
348	49.51927637
349	49.47579682
350	49.43543057
351	49.39362661
352	49.36852539
353	49.27255931
354	49.2333077
355	49.19165864
356	49.14630836
357	49.06574478
358	49.01401357
359	48.98438825
360	48.94912783
361	48.88661009
362	48.82664397
363	48.76164061
364	48.7030265
365	48.66935487
366	48.61933081
367	48.58419776
368	48.54936599
369	48.50576414
370	48.44302405
371	48.39712367
372	48.35504517
373	48.3182491
374	48.27499461
375	48.24553613
376	48.17769664
377	48.14463848
378	48.10000631
379	48.02789826
