iter	Logloss
0	0.6886098079
1	0.6829249145
2	0.6786288686
3	0.6730833789
4	0.6681647113
5	0.6637235144
6	0.6588629036
7	0.6542542711
8	0.649120078799	0.6438450572110	0.6387431415111	0.6333633938112	0.6291392999113	0.625581904
14	0.6202384929
15	0.6152872741
16	0.6111398057
17	0.6071582077
18	0.6030718633
19	0.5983096734
20	0.590089
21	0.584621841
22	0.5805295308
23	0.5762600354
24	0.5710731726
25	25	0.5718513526	26	0.5679028327	27	0.5650628928	28	0.5614827029	29	0.557212093030	0.5513242593131	0.5481924983232	0.5441802603333	0.5393387593434	0.5351108673535	0.5315094173636	0.5287714337	37	0.5262154938	38	0.5227922239	39	0.5191898840	40	0.5159933141	41	0.5122748117
42	0.50853533
43	0.5059798793444	0.5027765143445	0.4992009274646	0.4952735404747	0.4915242344848	0.4885231502
49	0.4845261029
50	0.4808942055151	0.4777927495252	0.4748476215353	0.4717607495454	0.4688720725555	0.4656985425656	0.46227673657	0.4594227268
58	0.4564437215
59	0.4537126733
60	0.4509274647
61	0.4486813061
62	0.4455146573
63	0.4431277946
64	0.4391063671
65	0.43610981
66	0.4327636471
67	0.4304582816
68	0.4278103721
69	0.4255163372
70	70	0.4221416771	71	0.4197410972	72	0.4178626973	73	0.4150051274	74	0.412032237575	0.4093758676	0.4084788266
77	0.4061683947
78	78	0.4013481179	79	0.3985613180	0.3996285516
81	0.3968421068
82	0.394491823
83	0.3920208047
8484	0.3881787548585	0.3866811208686	0.3841644938787	0.3817529508888	0.3796884658989	0.3772035639090	0.3751148929191	0.3730476789292	0.3713375189393	0.37004434694	0.369390031
95	0.3673057008
96	0.3652979087
97	0.3629035407
98	0.3613426183
99	0.3590347792
100	0.3569843925
101	0.3544921286
102	0.3526750329
103	0.3501973166
104	0.34789156105105	0.34591060106106	0.34410183107107	0.34232564108108	0.34035619109109	0.3384868653
110	0.3368159765
111	0.334297454
112	0.3326381359
113	0.3307142827
114	0.3291839095
115	0.3277511524
116	0.326069706
117	0.3251545012
118	0.3231522158
119	0.3217569631
120	0.3195629688
121	0.3183039642
122	0.3168983099
123	0.3150975079
124	0.3131963958
125	0.3120340279
126	0.3102385483
127	0.3082609643
128	0.3063967965
129	0.3052178863
