iter	Logloss
0	0.6915721503
1	0.6901155755
2	0.6887176867
3	0.6873164051
4	0.6858482322
5	0.6842654389
6	0.6828327408
7	0.6815978771
8	0.6804349292
9	0.6791751143
10	0.6779360118
11	0.6768266558
12	0.6756700211
13	0.6742277913
14	0.6730331395
15	0.6717592794
16	0.6705099972
17	0.6692639587
18	0.6680883948
19	0.6667317233
20	0.665693248
21	0.6648188534
22	0.6638055061
23	0.662630376
24	0.6615716849
25	0.6604536457
26	0.6595716116
27	0.6585825415
28	0.657735415
29	0.6569681776
30	0.6559156125
31	0.6549522464
32	0.6542029279
33	0.6534066704
34	0.6526302316
35	0.6519532938
36	0.6510963907
37	0.6501709329
38	0.6494589601
39	0.6486447819
40	0.6477085013
41	0.6470907953
42	0.6463208124
43	0.6456664391
44	0.6449288147
45	0.6443036557
46	0.6437834313
47	0.6430371909
48	0.6419604591
49	0.6409057379
50	0.6400946407
51	0.6394027915
52	0.6387844418
53	0.6379946029
54	0.637398306
55	0.6366679912
56	0.6358836485
57	0.6354141014
58	0.634811214
59	0.6341919398
60	0.6335437209
61	0.6327205521
62	0.6318544777
63	0.6312653655
64	0.6308158506
65	0.6303532278
66	0.6295989219
67	0.6291926935
68	0.6286594706
69	0.6280987442
70	0.6275150842
71	0.6267187126
72	0.6261545605
73	0.6257151087
74	0.6250940658
75	0.6245151381
76	0.6237915556
77	0.6231909982
78	0.6228388101
79	0.6220019654
80	0.6214540932
81	0.6210417448
82	0.6204702976
83	0.6201301599
84	0.6197628229
85	0.6191266932
86	0.618615114
87	0.6181313816
88	0.6176911109
89	0.6172642747
90	0.6167311133
91	0.6161625489
92	0.6156857759
93	0.6152561044
94	0.6146769706
95	0.6142634654
96	0.6137562954
97	0.6132322067
98	0.612560348
99	0.611888289
100	0.61138976
101	0.6110134556
102	0.6106760271
103	0.6103273477
104	0.6097752039
105	0.6093022902
106	0.6089538371
107	0.6084475425
108	0.6080249517
109	0.607627103
110	0.6072486551
111	0.6067626932
112	0.6063183525
113	0.6058454699
114	0.6052962975
115	0.604923287
116	0.6045576441
117	0.6040346554
118	0.6036750582
119	0.6032183054
120	0.6026581591
121	0.6023112075
122	0.6019193696
123	0.6015013774
124	0.6012231488
125	0.6008397618
126	0.6005937745
127	0.600099104
128	0.5998167112
129	0.5995614386
130	0.5991314671
131	0.5986910655
132	0.5982901566
133	0.5978462352
134	0.5973281925
135	0.5970742902
136	0.5965515088
137	0.5961165988
138	0.5958333874
139	0.5954868966
140	0.5952037856
141	0.5947239401
142	0.5944426138
143	0.5940118276
144	0.5936408004
145	0.5932814301
146	0.593040278
147	0.5926964527
148	0.5924294093
149	0.592096753
150	0.5917733039
151	0.5914940339
152	0.5911037319
153	0.5908746172
154	0.5905485818
155	0.5901099714
156	0.5897803976
157	0.5890481497
158	0.5887044123
159	0.5883577211
160	0.5880526406
161	0.5878088096
162	0.5874857895
163	0.5872838436
164	0.5865407464
165	0.5862282574
166	0.5860614596
167	0.5857263532
168	0.5853061492
169	0.5848679102
170	0.5844994053
171	0.5840805669
172	0.5838312843
173	0.583361373
174	0.582994222
175	0.5827255365
176	0.5824448857
177	0.5820594919
178	0.5817405921
179	0.581464723
180	0.5812941772
181	0.580923505
182	0.5804930503
183	0.5802656072
184	0.5801026691
185	0.579849985
186	0.579315138
187	0.5789651468
188	0.5786190003
189	0.5782072456
190	0.5779192744
191	0.5775426969
192	0.577245457
193	0.5768576674
194	0.5764191894
195	0.5761206178
196	0.5758253574
197	0.5756265756
198	0.5752727625
199	0.5750114209
200	0.57458726
201	0.5743421013
202	0.5740482421
203	0.5737166053
204	0.573550491
205	0.5732958354
206	0.5729962807
207	0.5727078689
208	0.5724193014
209	0.5722722326
210	0.5721088163
211	0.5718323207
212	0.5715038234
213	0.571246991
214	0.5710187855
215	0.5707996508
216	0.5702642629
217	0.5699878077
218	0.5696414457
219	0.5693585657
220	0.569025073
221	0.5687914141
222	0.5684330651
223	0.568034556
224	0.5677164146
225	0.5674244389
226	0.5670919024
227	0.5667994134
228	0.5665441932
229	0.5661752612
230	0.5658424876
231	0.5655833867
232	0.5653485696
233	0.5650369073
234	0.5645598404
235	0.5640608598
236	0.5638013147
237	0.5635159592
238	0.5632036787
239	0.5630625621
240	0.5629057966
241	0.5624955332
242	0.5623132479
243	0.5620516312
244	0.5618067471
245	0.5614055929
246	0.5608641907
247	0.5605384537
248	0.5602249981
249	0.5598810235
250	0.5596467309
251	0.5592409468
252	0.5590148786
253	0.5587385993
254	0.55855347
255	0.5583579475
256	0.5581018796
257	0.557840531
258	0.557455327
259	0.5570314905
260	0.5568287394
261	0.5567085972
262	0.5564034391
263	0.5561835412
264	0.5558685475
265	0.5555562705
266	0.5552892002
267	0.5550594536
268	0.5546113063
269	0.5545124486
270	0.5543138903
271	0.5540508796
272	0.5537297915
273	0.5535153612
274	0.5533312408
275	0.5530271869
276	0.5527787512
277	0.5526460033
278	0.5524200428
279	0.5522784801
280	0.5520795341
281	0.5519121167
282	0.5516557563
283	0.5512382036
284	0.551013642
285	0.5506809085
286	0.5503569103
287	0.5500904551
288	0.5498778837
289	0.5496108971
290	0.5494564976
291	0.5492036192
292	0.5489363189
293	0.5486503713
294	0.5483838921
295	0.5481147
296	0.5479212725
297	0.5476688416
298	0.5474585745
299	0.5473273851
300	0.5469312101
301	0.5467721046
302	0.5465613267
303	0.5463205811
304	0.5461855064
305	0.5459006125
306	0.545635025
307	0.5455022393
308	0.5452996419
309	0.545133698
310	0.5448859104
311	0.5444389697
312	0.5442740218
313	0.5440332828
314	0.5435181561
315	0.5432617966
316	0.5430216029
317	0.5427174344
318	0.5425190682
319	0.5422228376
320	0.5420526587
321	0.5419364658
322	0.5417758304
323	0.5416191054
324	0.5413251833
325	0.5412447325
326	0.5410334374
327	0.5407433422
328	0.5405141713
329	0.5403023471
330	0.5400191108
331	0.5398855524
332	0.5397315037
333	0.5395944179
334	0.5393554443
335	0.5392456248
336	0.5388930499
337	0.5386908033
338	0.5384434252
339	0.53825203
340	0.5379228734
341	0.537663062
342	0.5373112347
343	0.5371526119
