iter	MultiClass
0	1.827709974
1	1.726238501
2	1.648996102
3	1.580208118
4	1.513719838
5	1.467207248
6	1.419481682
7	1.378509627
8	1.342475013
9	1.310736512
10	1.281065349
11	1.256823885
12	1.232862009
13	1.210199496
14	1.192230636
15	1.173925388
16	1.155965295
17	1.141704505
18	1.126129496
19	1.11514494
20	1.1015232
21	1.092005177
22	1.079051216
23	1.069966118
24	1.060470392
25	1.050640991
26	1.041934642
27	1.032161065
28	1.024198115
29	1.01485278
30	1.007140279
31	0.9973155479
32	0.9892723545
33	0.9813939602
34	0.9754001037
35	0.9702462981
36	0.9619539729
37	0.955981325
38	0.9499073013
39	0.943094965
40	0.9377433628
41	0.9322539421
42	0.9264566563
43	0.9227159749
44	0.917743084
45	0.9136536294
46	0.9096541445
47	0.9063190229
48	0.9006449772
49	0.8975579318
50	0.8932647134
51	0.889395622
52	0.883450258
53	0.8800692962
54	0.8761352126
55	0.8716674881
56	0.868936863
57	0.8665111962
58	0.8629875478
59	0.8589701183
60	0.8539279004
61	0.8504130079
62	0.8482152166
63	0.8457203854
64	0.842392142
65	0.8385029553
66	0.836847545
67	0.8337598054
68	0.831084042
69	0.8274583535
70	0.82407447
71	0.8226786641
72	0.8191241873
73	0.8160887354
74	0.8136861325
75	0.8126246785
76	0.8111187597
77	0.8094001294
78	0.8072820411
79	0.8030491484
80	0.8008953454
81	0.7987837559
82	0.7968211241
83	0.7941279841
84	0.7905800889
85	0.7876717834
86	0.783344553
87	0.7810377551
88	0.7783401953
89	0.7761702828
90	0.7738270603
91	0.7714986945
92	0.7681052012
93	0.765998678
94	0.7636707694
95	0.7617193263
96	0.7600382194
97	0.7580725035
98	0.7563725882
99	0.7553912801
100	0.7530569137
101	0.7504640628
102	0.7485204863
103	0.7462396508
104	0.7431734808
105	0.7406105289
106	0.7392478194
107	0.7361983402
108	0.7340267262
109	0.7329452648
110	0.7315433748
111	0.7286246008
112	0.7274952898
113	0.7258193378
114	0.7241593284
115	0.7228700099
116	0.7205924675
117	0.7194413648
118	0.7183629856
119	0.7166026428
120	0.7149271365
121	0.7137252536
122	0.7120873541
123	0.7102738634
124	0.7081605168
125	0.7054831039
126	0.7038239467
127	0.7013695418
128	0.700131281
129	0.6990498598
130	0.6968163939
131	0.6947741169
132	0.6940177406
133	0.6933681527
134	0.6913599037
135	0.6899073023
136	0.6880149461
137	0.6867652162
138	0.6846509183
139	0.6839645865
140	0.682383493
141	0.6810658106
142	0.6803149615
143	0.6774342839
144	0.675346953
145	0.673688844
146	0.6717701371
147	0.6708370339
148	0.6699612976
149	0.6685547003
150	0.667760033
151	0.6661697314
152	0.664801161
153	0.6632282295
154	0.6621090151
155	0.6613609198
156	0.6607490262
157	0.6591181406
158	0.6585625202
159	0.656720598
160	0.656329835
161	0.6555699836
162	0.6541931825
163	0.6533247431
164	0.6515358012
165	0.6507663631
166	0.6496340813
167	0.6485566772
168	0.6478604419
169	0.6473134383
170	0.6460411292
171	0.644558314
172	0.6434107804
173	0.64299165
174	0.6421474852
175	0.6416206196
176	0.6408648293
177	0.6390955356
178	0.6386723297
179	0.6375598264
180	0.6365250697
181	0.6352402341
182	0.6341836462
183	0.6333268546
184	0.6328931637
185	0.6314786876
186	0.6305219458
187	0.6296536382
188	0.6285571569
189	0.6280161116
190	0.6269582076
191	0.6260410232
192	0.624490336
193	0.6236826202
194	0.6226669982
195	0.6214304678
196	0.6209180886
197	0.619819061
198	0.6192136821
199	0.6187710773
200	0.6182778085
201	0.6180389793
202	0.6173197516
203	0.6162334749
204	0.6159472631
205	0.6151308384
206	0.6147681024
207	0.6137896901
208	0.613558216
209	0.6133073221
210	0.6124329354
211	0.6117995162
212	0.6112575408
213	0.6109564037
214	0.6101035696
215	0.6088403644
216	0.6077547902
217	0.6060589855
218	0.6052632481
219	0.6035770428
220	0.6028071888
221	0.6024170051
222	0.6013397709
223	0.6007998321
224	0.6006091104
225	0.6002809946
226	0.5995247231
227	0.5989641669
228	0.5981376273
229	0.5974683648
230	0.5969623532
231	0.5957555144
232	0.5944170066
233	0.5937539584
234	0.5928943711
235	0.5916205231
236	0.5912554288
237	0.5907211286
238	0.5902570573
239	0.5893694676
240	0.5886047761
241	0.5876690055
242	0.5867275992
243	0.5860060479
244	0.5850071166
245	0.5843014225
246	0.5839308659
247	0.5834215863
248	0.5825590098
249	0.5819780074
250	0.5812947142
251	0.5810267479
252	0.5803573614
253	0.5793974023
254	0.5786410582
255	0.5781164637
256	0.5779263597
257	0.5769250408
258	0.5766248199
259	0.5761297962
260	0.5757653138
261	0.574885812
262	0.5744739465
263	0.573637496
264	0.5731237153
265	0.5725170604
266	0.5716515124
267	0.5709632911
268	0.5703272881
269	0.5698902799
270	0.5692749174
271	0.5687080239
272	0.5677552686
273	0.5675713127
274	0.5672660173
275	0.56689753
276	0.5666034457
277	0.5659032971
278	0.5653195135
279	0.5646035329
280	0.5640763144
281	0.5634444874
282	0.5632723093
283	0.5631031934
284	0.5629251429
285	0.5626572418
286	0.5622903502
287	0.5617617861
288	0.5616078276
289	0.5609639392
290	0.5605091493
291	0.5597288566
292	0.5591051259
293	0.5582078483
294	0.5575677927
295	0.5571958655
296	0.556568997
297	0.5561476378
298	0.5557570073
299	0.55530687
300	0.5551747344
301	0.554725894
302	0.5545362495
303	0.554150339
304	0.5537638236
305	0.5534939918
306	0.5530053463
307	0.5528535289
308	0.5522958341
309	0.5518780069
310	0.5515459937
311	0.5509577242
312	0.5503426684
313	0.5496083474
314	0.5492672478
315	0.5487141566
316	0.5485553067
317	0.5480386622
318	0.5479115232
319	0.5474857365
320	0.5469017274
321	0.546567044
322	0.5461098197
323	0.5458281318
324	0.5457289535
325	0.5455146477
326	0.5451772353
327	0.5450563914
328	0.544322819
329	0.5440799213
330	0.5438942173
331	0.5436939203
332	0.5435883565
333	0.5429938318
334	0.5426746558
335	0.5422692852
336	0.542010468
337	0.5414539154
338	0.541336327
339	0.5407983052
340	0.5404568346
341	0.5398076568
342	0.5391090072
343	0.538767929
344	0.5381447751
345	0.537682395
346	0.537404915
347	0.5372522872
348	0.5366927086
349	0.5363143038
350	0.5359150746
351	0.5357632174
352	0.5353123198
353	0.5349269285
354	0.5342818186
355	0.5341720519
356	0.5339363758
357	0.5334557524
358	0.5333557301
359	0.533253231
360	0.5329557907
361	0.5324368924
362	0.5318200013
363	0.5311247718
364	0.5308189217
365	0.530205693
366	0.5295486332
367	0.5293715326
368	0.5290313326
369	0.5288940487
370	0.5284821712
371	0.527969945
372	0.5277950521
373	0.5273207424
374	0.5271303264
375	0.5263786851
376	0.5261902671
377	0.525716011
378	0.5254055307
379	0.5248134888
380	0.5242305935
381	0.5241401478
382	0.5237368139
383	0.5232367316
384	0.5227890597
385	0.5226710905
386	0.5221861336
387	0.5220458561
388	0.5217285323
389	0.5213083841
390	0.5211779998
391	0.5210037186
392	0.5202114278
393	0.520035268
394	0.5193742333
395	0.5191957888
396	0.5189812828
397	0.5186030667
398	0.5182673992
399	0.5181506677
400	0.5176005328
401	0.5173331479
402	0.5171396192
403	0.5168579859
404	0.5167157643
405	0.5164903748
406	0.516163245
407	0.5157820859
408	0.515655564
409	0.5155673112
410	0.5154160843
411	0.5152590886
412	0.5151150715
413	0.5149922301
414	0.5148536291
415	0.5145927125
416	0.5144608753
417	0.5143163959
418	0.5139784644
419	0.5138722838
420	0.5136756241
421	0.513190553
422	0.5127980796
423	0.5125480415
424	0.5123205436
425	0.5119320353
426	0.5117748805
427	0.5113766338
428	0.5110713128
429	0.5109721511
430	0.5105633299
431	0.5103270661
