강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고산
기간 : 20210901~20220831

날짜,지점,강수량(mm)
2022-06-13,185,11.2
2022-06-14,185,
2022-06-15,185,
2022-06-16,185,0
2022-06-17,185,0.1
2022-06-18,185,
2022-06-19,185,
2022-06-20,185,
2022-06-21,185,
2022-06-22,185,
2022-06-23,185,0
2022-06-24,185,83.7
2022-06-25,185,3.9
2022-06-26,185,0.8
2022-06-27,185,0.7
2022-06-28,185,0.6
2022-06-29,185,0.2
2022-06-30,185,
2022-07-01,185,
2022-07-02,185,
2022-07-03,185,
2022-07-04,185,
2022-07-05,185,0
2022-07-06,185,
2022-07-07,185,0
2022-07-08,185,
2022-07-09,185,
2022-07-10,185,
2022-07-11,185,69.9
2022-07-12,185,
2022-07-13,185,
2022-07-14,185,0
2022-07-15,185,48.4
2022-07-16,185,0
2022-07-17,185,0.1
2022-07-18,185,11.1
2022-07-19,185,0.4
2022-07-20,185,0
2022-07-21,185,0.4
2022-07-22,185,
2022-07-23,185,3.5
2022-07-24,185,6
2022-07-25,185,
2022-07-26,185,
2022-07-27,185,
2022-07-28,185,0
2022-07-29,185,
2022-07-30,185,93.2
2022-07-31,185,25.4
2022-08-01,185,19.9
2022-08-02,185,51.7
2022-08-03,185,5
2022-08-04,185,
2022-08-05,185,
2022-08-06,185,
2022-08-07,185,
2022-08-08,185,
2022-08-09,185,
2022-08-10,185,
2022-08-11,185,
2022-08-12,185,0
2022-08-13,185,
2022-08-14,185,
2022-08-15,185,
2022-08-16,185,4.6
2022-08-17,185,61.1
2022-08-18,185,
2022-08-19,185,
2022-08-20,185,0.9
2022-08-21,185,
2022-08-22,185,
2022-08-23,185,
2022-08-24,185,
2022-08-25,185,
2022-08-26,185,0
2022-08-27,185,
2022-08-28,185,
2022-08-29,185,
2022-08-30,185,0
2022-08-31,185,0
