강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 성산
기간 : 20210901~20220831

날짜,지점,강수량(mm)
2022-06-17,188,
2022-06-18,188,
2022-06-19,188,0.7
2022-06-20,188,
2022-06-21,188,2.6
2022-06-22,188,
2022-06-23,188,0.2
2022-06-24,188,51.7
2022-06-25,188,6.1
2022-06-26,188,0.5
2022-06-27,188,
2022-06-28,188,
2022-06-29,188,2.3
2022-06-30,188,0
2022-07-01,188,
2022-07-02,188,
2022-07-03,188,3.6
2022-07-04,188,
2022-07-05,188,0
2022-07-06,188,0
2022-07-07,188,
2022-07-08,188,26.3
2022-07-09,188,
2022-07-10,188,
2022-07-11,188,12
2022-07-12,188,
2022-07-13,188,
2022-07-14,188,0.1
2022-07-15,188,9.4
2022-07-16,188,
2022-07-17,188,4.8
2022-07-18,188,9.7
2022-07-19,188,8.8
2022-07-20,188,
2022-07-21,188,
2022-07-22,188,
2022-07-23,188,
2022-07-24,188,54.1
2022-07-25,188,
2022-07-26,188,
2022-07-27,188,
2022-07-28,188,
2022-07-29,188,
2022-07-30,188,64.7
2022-07-31,188,32.4
2022-08-01,188,19.9
2022-08-02,188,5
2022-08-03,188,
2022-08-04,188,1.6
2022-08-05,188,2.1
2022-08-06,188,0.2
2022-08-07,188,
2022-08-08,188,
2022-08-09,188,0.1
2022-08-10,188,0
2022-08-11,188,
2022-08-12,188,0.3
2022-08-13,188,
2022-08-14,188,
2022-08-15,188,0
2022-08-16,188,0.8
2022-08-17,188,181
2022-08-18,188,
2022-08-19,188,0
2022-08-20,188,0
2022-08-21,188,
2022-08-22,188,
2022-08-23,188,
2022-08-24,188,
2022-08-25,188,
2022-08-26,188,0
2022-08-27,188,
2022-08-28,188,
2022-08-29,188,
2022-08-30,188,22.8
2022-08-31,188,0
