강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서귀포
기간 : 20210901~20220831

날짜,지점,강수량(mm)
2022-06-15,189,0
2022-06-16,189,
2022-06-17,189,
2022-06-18,189,0
2022-06-19,189,1
2022-06-20,189,
2022-06-21,189,2.7
2022-06-22,189,0.3
2022-06-23,189,1.6
2022-06-24,189,105.9
2022-06-25,189,16.5
2022-06-26,189,1
2022-06-27,189,0.2
2022-06-28,189,0.1
2022-06-29,189,0.1
2022-06-30,189,
2022-07-01,189,0
2022-07-02,189,
2022-07-03,189,1.4
2022-07-04,189,3.7
2022-07-05,189,0
2022-07-06,189,0
2022-07-07,189,0.4
2022-07-08,189,0.5
2022-07-09,189,
2022-07-10,189,
2022-07-11,189,85.2
2022-07-12,189,0
2022-07-13,189,0.1
2022-07-14,189,0
2022-07-15,189,31.4
2022-07-16,189,0
2022-07-17,189,6.2
2022-07-18,189,10.6
2022-07-19,189,2.6
2022-07-20,189,
2022-07-21,189,
2022-07-22,189,
2022-07-23,189,
2022-07-24,189,13
2022-07-25,189,
2022-07-26,189,
2022-07-27,189,
2022-07-28,189,0.1
2022-07-29,189,
2022-07-30,189,46.5
2022-07-31,189,70.3
2022-08-01,189,10.8
2022-08-02,189,17.2
2022-08-03,189,
2022-08-04,189,0.7
2022-08-05,189,0
2022-08-06,189,
2022-08-07,189,0
2022-08-08,189,
2022-08-09,189,0.2
2022-08-10,189,0.1
2022-08-11,189,1.1
2022-08-12,189,0
2022-08-13,189,
2022-08-14,189,
2022-08-15,189,2
2022-08-16,189,10.9
2022-08-17,189,212.5
2022-08-18,189,
2022-08-19,189,0
2022-08-20,189,
2022-08-21,189,
2022-08-22,189,
2022-08-23,189,
2022-08-24,189,7.2
2022-08-25,189,
2022-08-26,189,0
2022-08-27,189,
2022-08-28,189,
2022-08-29,189,
2022-08-30,189,0.4
2022-08-31,189,0
