iter	MAE
0	54.0930056
1	52.21239244
2	50.76428551
3	49.61196929
4	48.91758835
5	48.04048955
6	47.44326534
7	46.90027629
8	46.44456896
9	46.07852726
10	45.80716489
11	45.53213237
12	45.36237737
13	45.21669578
14	45.08821839
15	44.97120998
16	44.89238238
17	44.80979323
18	44.71098951
19	44.66039666
20	44.50663235
21	44.45726689
22	44.39805814
23	44.24469979
24	44.16702555
25	43.99486585
26	43.97000417
27	43.8557583
28	43.83958628
29	43.80260059
30	43.74550974
31	43.72063012
32	43.70827443
33	43.62652543
34	43.60552354
35	43.57399256
36	43.55179512
37	43.52294015
38	43.49592727
39	43.48535988
40	43.44519359
41	43.44381889
42	43.42970332
43	43.41911593
44	43.35840194
45	43.34213765
46	43.32737779
47	43.27239115
48	43.27108965
49	43.24467341
50	43.23762868
51	43.21999536
52	43.21232823
53	43.19680442
54	43.16850931
55	43.16040898
56	43.15016011
57	43.13929039
58	43.13045583
59	43.12912268
60	43.09495714
61	43.09154858
62	43.08537836
63	43.03297639
64	43.02885182
65	43.02079643
66	43.00777808
67	42.98493705
68	42.9406996
69	42.93314125
70	42.90432965
71	42.77363458
72	42.74786985
73	42.74377465
74	42.71734741
75	42.70465978
76	42.68443846
77	42.67222179
78	42.65312688
79	42.63527601
80	42.61734971
81	42.61227003
82	42.60160385
83	42.57266953
84	42.56999436
85	42.5438451
86	42.50298315
87	42.49362809
88	42.46994383
89	42.46455986
90	42.450478
91	42.4466398
92	42.30866153
93	42.25762233
94	42.24410261
95	42.23612768
96	42.23183223
97	42.15941312
98	42.15025748
99	42.1457552
100	42.13912601
101	42.12674463
102	42.11007902
103	42.05668227
104	42.01590086
105	41.97014706
106	41.91603675
107	41.74384447
108	41.59220204
109	41.56615341
110	41.4598733
111	41.42920649
112	41.39022596
113	41.35834891
114	41.32055851
115	41.2318445
116	41.11295815
117	41.07820032
118	40.91141782
119	40.88648871
120	40.81141898
121	40.77869261
122	40.70155414
123	40.66421183
124	40.62620679
125	40.56950515
126	40.49423134
127	40.43802959
128	40.32726152
129	40.28058465
130	40.20607754
131	40.17580191
132	40.11938456
133	40.1116891
134	40.07905158
135	40.0582817
136	40.03658521
137	40.00973293
138	39.92311786
139	39.88316448
140	39.7976495
141	39.7756872
142	39.74117704
143	39.71209132
144	39.63978141
145	39.6027875
146	39.50303037
147	39.48914425
148	39.46763899
149	39.46188784
150	39.4195698
151	39.40483664
152	39.31648454
153	39.25645923
154	39.18078896
155	39.17618387
156	39.16120198
157	39.14498562
158	39.0810634
159	39.07170372
160	39.06206744
161	39.02723335
162	39.0135603
163	38.99244082
164	38.91555861
165	38.87884972
166	38.8691047
167	38.82217959
168	38.72706499
169	38.59451484
170	38.51306928
